Year,GDP Growth (%),Unemployment Rate (%)
2000,5.13853918593026,6.829
2001,1.87509813216803,7.219
2002,2.9992553495694,7.665
2003,1.80638513484521,7.574
2004,3.09236383456562,7.185
2005,3.21045435651203,6.758
2006,2.6379438004107,6.484
2007,2.04990461109004,6.156
2008,0.995406309993598,6.284
2009,-2.91508623949733,8.46
2010,3.09080637403602,8.178
2011,3.13719438973661,7.637
2012,1.75566132540601,7.392
2013,2.32581357393478,7.143
2014,2.87346677184995,7.023
2015,0.649970993709132,6.945
2016,1.03855093491798,7.038
2017,3.03383490260789,6.426
2018,2.74296343112555,5.837
2019,1.9084319253883,5.69
2020,-5.03823344128351,9.657
2021,5.28695689105889,7.527
2022,3.81986633913397,5.279
2023,1.24892730403391,5.415
